Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.81      0.04     0.04  5578512     0.00     0.00  Rma_Datatype<int>::get_lock(int, locktype, bool)
  6.76      0.07     0.03  1199170     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  5.41      0.09     0.02  4856737     0.00     0.00  Rma_Datatype<int>::get_data(int, int, int, locktype)
  5.41      0.11     0.02  3337928     0.00     0.00  Graph::get_edge_owner(Edge)
  5.41      0.13     0.02  1313358     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  4.05      0.14     0.02 10032733     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  2.70      0.15     0.01  8434126     0.00     0.00  Edge::get_id()
  2.70      0.16     0.01  6675856     0.00     0.00  Edge::is_in_csr()
  2.70      0.17     0.01  5578512     0.00     0.00  Rma_Datatype<int>::unlock(int, locktype)
  2.70      0.18     0.01  3767405     0.00     0.00  Graph::get_node_local_index(int)
  2.70      0.19     0.01  3705274     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  2.70      0.20     0.01  3364767     0.00     0.00  NodeProperty<int>::getValue(int, bool)
  2.70      0.21     0.01  1313358     0.00     0.00  EdgeProperty<int>::getValue(Edge, bool)
  2.70      0.22     0.01  1313325     0.00     0.00  Graph::get_other_vertex(int, int)
  2.70      0.23     0.01  1300104     0.00     0.00  __gnu_cxx::__normal_iterator<int**, std::vector<int*, std::allocator<int*> > >::base() const
  2.70      0.24     0.01   711212     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  2.70      0.25     0.01   513906     0.00     0.00  std::vector<int*, std::allocator<int*> >::end()
  2.70      0.26     0.01   501319     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  2.70      0.27     0.01   383350     0.00     0.00  std::__detail::_Hash_node<int, false>::_M_next() const
  2.70      0.28     0.01   373884     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  2.70      0.29     0.01   355606     0.00     0.00  EdgeProperty<int>::atomicAdd(Edge&, int)
  2.70      0.30     0.01   289571     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  2.70      0.31     0.01   282545     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::size() const
  2.70      0.32     0.01   235751     0.00     0.00  std::_Vector_base<int*, std::allocator<int*> >::_M_allocate(unsigned long)
  2.70      0.33     0.01   191344     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_v() const
  2.70      0.34     0.01   177766     0.00     0.00  std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::insert(int const&)
